ID_YPS,SPP,GENUS,SPECIES,FAMILY,LIANA,FOREST
BAR0420,HIRARE,Hiraea,Hiraea reclinata,Malpighiaceae,1,BAR
BAR0422,HIRARE,Hiraea,Hiraea reclinata,Malpighiaceae,1,BAR
BAR0521,HIRARE,Hiraea,Hiraea reclinata,Malpighiaceae,1,BAR
BAR0522,HIRARE,Hiraea,Hiraea reclinata,Malpighiaceae,1,BAR
BAR0523,HIRARE,Hiraea,Hiraea reclinata,Malpighiaceae,1,BAR
BAR0526,HIRARE,Hiraea,Hiraea reclinata,Malpighiaceae,1,BAR
BAR0527,HIRARE,Hiraea,Hiraea reclinata,Malpighiaceae,1,BAR
BAR0528,HIRARE,Hiraea,Hiraea reclinata,Malpighiaceae,1,BAR
BAR0533,HIRARE,Hiraea,Hiraea reclinata,Malpighiaceae,1,BAR
BAR0535,HIRARE,Hiraea,Hiraea reclinata,Malpighiaceae,1,BAR
BAR0536,HIRARE,Hiraea,Hiraea reclinata,Malpighiaceae,1,BAR
BAR0537,HIRARE,Hiraea,Hiraea reclinata,Malpighiaceae,1,BAR
BAR0538,HIRARE,Hiraea,Hiraea reclinata,Malpighiaceae,1,BAR
BAR0544,HIRARE,Hiraea,Hiraea reclinata,Malpighiaceae,1,BAR
BAR0568,HIRARE,Hiraea,Hiraea reclinata,Malpighiaceae,1,BAR
BVPOCHSE1,POCHSE,Pachira,sessilis,Malvaceae,0,Buena Vista
BVPOCHSE2,POCHSE,Pachira,sessilis,Malvaceae,0,Buena Vista
BVPOCHSE3,POCHSE,Pachira,sessilis,Malvaceae,0,Buena Vista
BVPOCHSE4,POCHSE,Pachira,sessilis,Malvaceae,0,Buena Vista
BVPOCHSE5,POCHSE,Pachira,sessilis,Malvaceae,0,Buena Vista
BVPOCHSE6,POCHSE,Pachira,sessilis,Malvaceae,0,Buena Vista
ANMICOEL1,MICOEL,Miconia,elata,Melastomataceae,0,ANAM
ANMICOEL2,MICOEL,Miconia,elata,Melastomataceae,0,ANAM
ANMICOEL3,MICOEL,Miconia,elata,Melastomataceae,0,ANAM
ANMICOEL4,MICOEL,Miconia,elata,Melastomataceae,0,ANAM
ANMICOEL5,MICOEL,Miconia,elata,Melastomataceae,0,ANAM
ANMICOEL6,MICOEL,Miconia,elata,Melastomataceae,0,ANAM
ANMICOAF1,MICOAF,Miconia,affinis,Melastomataceae,0,ANAM
ANMICOAF2,MICOAF,Miconia,affinis,Melastomataceae,0,ANAM
ANMICOAF3,MICOAF,Miconia,affinis,Melastomataceae,0,ANAM
ANMICOAF4,MICOAF,Miconia,affinis,Melastomataceae,0,ANAM
ANMICOAF5,MICOAF,Miconia,affinis,Melastomataceae,0,ANAM
ANMICOAF6,MICOAF,Miconia,affinis,Melastomataceae,0,ANAM
ANMICOLA1,MICOLA,Miconia,lacera,Melastomataceae,0,ANAM
ANMICOLA2,MICOLA,Miconia,lacera,Melastomataceae,0,ANAM
ANMICOLA3,MICOLA,Miconia,lacera,Melastomataceae,0,ANAM
ANMICOLA4,MICOLA,Miconia,lacera,Melastomataceae,0,ANAM
ANMICOLA5,MICOLA,Miconia,lacera,Melastomataceae,0,ANAM
ANMICOLA6,MICOLA,Miconia,lacera,Melastomataceae,0,ANAM
BVMOURMY1,MOURMY,Mouriri,myrtilloides,Melastomataceae,0,Buena Vista
BVMOURMY2,MOURMY,Mouriri,myrtilloides,Melastomataceae,0,Buena Vista
BVMOURMY3,MOURMY,Mouriri,myrtilloides,Melastomataceae,0,Buena Vista
BVMOURMY4,MOURMY,Mouriri,myrtilloides,Melastomataceae,0,Buena Vista
BVMOURMY5,MOURMY,Mouriri,myrtilloides,Melastomataceae,0,Buena Vista
BVMOURMY6,MOURMY,Mouriri,myrtilloides,Melastomataceae,0,Buena Vista
SRMOURPA1,MOURPA,Mouriri,panamensis,Melastomataceae,0,Santa Rita
SRMOURPA2,MOURPA,Mouriri,panamensis,Melastomataceae,0,Santa Rita
SRMOURPA3,MOURPA,Mouriri,panamensis,Melastomataceae,0,Santa Rita
SRMOURPA4,MOURPA,Mouriri,panamensis,Melastomataceae,0,Santa Rita
SRMOURPA5,MOURPA,Mouriri,panamensis,Melastomataceae,0,Santa Rita
SRMOURPA6,MOURPA,Mouriri,panamensis,Melastomataceae,0,Santa Rita
SRMICOEL1,MICOEL,Miconia,elata,Melastomataceae,0,Santa Rita
SRMICOEL2,MICOEL,Miconia,elata,Melastomataceae,0,Santa Rita
SRMICOEL3,MICOEL,Miconia,elata,Melastomataceae,0,Santa Rita
SRMICOEL4,MICOEL,Miconia,elata,Melastomataceae,0,Santa Rita
SRMICOEL5,MICOEL,Miconia,elata,Melastomataceae,0,Santa Rita
SRMICOEL6,MICOEL,Miconia,elata,Melastomataceae,0,Santa Rita
SHMICOSI1,MICOSI,Miconia,simplex,Melastomataceae,0,Sherman
SHMICOSI2,MICOSI,Miconia,simplex,Melastomataceae,0,Sherman
SHMICOSI3,MICOSI,Miconia,simplex,Melastomataceae,0,Sherman
SHMICOSI4,MICOSI,Miconia,simplex,Melastomataceae,0,Sherman
SHMICOSI5,MICOSI,Miconia,simplex,Melastomataceae,0,Sherman
SHMICOSI6,MICOSI,Miconia,simplex,Melastomataceae,0,Sherman
BAR0025,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,BAR
BAR0131,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,BAR
BAR0137,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,BAR
BAR0166,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,BAR
BAR0180,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,BAR
BAR0218,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,BAR
BAR0225,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,BAR
BAR0228,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,BAR
BAR0230,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,BAR
BAR0239,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,BAR
BAR0241,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,BAR
BAR0244,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,BAR
BAR0266,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,BAR
BAR0269,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,BAR
BAR0403,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,BAR
BAR0410,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,BAR
BAR0509,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,BAR
BAR0531,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,BAR
BAR0574,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,BAR
BAR0586,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,BAR
BAR0587,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,BAR
BAR0591,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,BAR
PEA0012,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,PEA
PEA0037,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,PEA
PEA0038,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,PEA
PEA0039,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,PEA
PEA0069,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,PEA
PEA0076,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,PEA
PEA0079,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,PEA
PEA0150,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,PEA
PEA0269,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,PEA
PEA0270,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,PEA
PEA0306,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,PEA
PEA0308,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,PEA
PEA0309,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,PEA
PEA0321,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,PEA
PEA0338,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,PEA
PEA0346,MOURMY,Mouriri,Mouriri myrtilloides,Melastomataceae,0,PEA
PPGUARGL1,GUARGL,Guarea,glabra,Meliaceae,0,Panama Pacifico
PPGUARGL2,GUARGL,Guarea,glabra,Meliaceae,0,Panama Pacifico
PPGUARGL3,GUARGL,Guarea,glabra,Meliaceae,0,Panama Pacifico
PPGUARGL4,GUARGL,Guarea,glabra,Meliaceae,0,Panama Pacifico
PPGUARGL5,GUARGL,Guarea,glabra,Meliaceae,0,Panama Pacifico
PPGUARGL6,GUARGL,Guarea,glabra,Meliaceae,0,Panama Pacifico
PPGUARGU1,GUARGU,Guarea,guidonia,Meliaceae,0,Panama Pacifico
PPGUARGU2,GUARGU,Guarea,guidonia,Meliaceae,0,Panama Pacifico
PPGUARGU3,GUARGU,Guarea,guidonia,Meliaceae,0,Panama Pacifico
PPGUARGU4,GUARGU,Guarea,guidonia,Meliaceae,0,Panama Pacifico
PPGUARGU5,GUARGU,Guarea,guidonia,Meliaceae,0,Panama Pacifico
PPGUARGU6,GUARGU,Guarea,guidonia,Meliaceae,0,Panama Pacifico
CHGUARGU1,GUARGU,Guarea,guidonia,Meliaceae,0,Charco
CHGUARGU2,GUARGU,Guarea,guidonia,Meliaceae,0,Charco
CHGUARGU3,GUARGU,Guarea,guidonia,Meliaceae,0,Charco
CHGUARGU4,GUARGU,Guarea,guidonia,Meliaceae,0,Charco
CHGUARGU5,GUARGU,Guarea,guidonia,Meliaceae,0,Charco
CHGUARGU6,GUARGU,Guarea,guidonia,Meliaceae,0,Charco
OLTRI2TU1,TRI2TU,Trichilia,tuberculata,Meliaceae,0,Oleoducto
OLTRI2TU2,TRI2TU,Trichilia,tuberculata,Meliaceae,0,Oleoducto
OLTRI2TU3,TRI2TU,Trichilia,tuberculata,Meliaceae,0,Oleoducto
OLTRI2TU4,TRI2TU,Trichilia,tuberculata,Meliaceae,0,Oleoducto
OLTRI2TU5,TRI2TU,Trichilia,tuberculata,Meliaceae,0,Oleoducto
OLTRI2TU6,TRI2TU,Trichilia,tuberculata,Meliaceae,0,Oleoducto
PPABUTRA1,ABUTRA,Abuta,racemosa,Menispermaceae,1,Panama Pacifico
PPABUTRA2,ABUTRA,Abuta,racemosa,Menispermaceae,1,Panama Pacifico
PPABUTRA3,ABUTRA,Abuta,racemosa,Menispermaceae,1,Panama Pacifico
PPABUTRA4,ABUTRA,Abuta,racemosa,Menispermaceae,1,Panama Pacifico
PPABUTRA5,ABUTRA,Abuta,racemosa,Menispermaceae,1,Panama Pacifico
PPABUTRA6,ABUTRA,Abuta,racemosa,Menispermaceae,1,Panama Pacifico
ANABUTRA1,ABUTRA,Abuta,racemosa,Menispermaceae,1,ANAM
ANABUTRA2,ABUTRA,Abuta,racemosa,Menispermaceae,1,ANAM
ANABUTRA3,ABUTRA,Abuta,racemosa,Menispermaceae,1,ANAM
ANABUTRA4,ABUTRA,Abuta,racemosa,Menispermaceae,1,ANAM
ANABUTRA5,ABUTRA,Abuta,racemosa,Menispermaceae,1,ANAM
ANABUTRA6,ABUTRA,Abuta,racemosa,Menispermaceae,1,ANAM
PPBROSAL1,BROSAL,Brosimum,alicastrum,Moraceae,0,Panama Pacifico
PPBROSAL2,BROSAL,Brosimum,alicastrum,Moraceae,0,Panama Pacifico
PPBROSAL3,BROSAL,Brosimum,alicastrum,Moraceae,0,Panama Pacifico
PPBROSAL4,BROSAL,Brosimum,alicastrum,Moraceae,0,Panama Pacifico
PPBROSAL5,BROSAL,Brosimum,alicastrum,Moraceae,0,Panama Pacifico
PPBROSAL6,BROSAL,Brosimum,alicastrum,Moraceae,0,Panama Pacifico
PPTROPRA1,TROPRA,Trophis,racemosa,Moraceae,0,Panama Pacifico
PPTROPRA2,TROPRA,Trophis,racemosa,Moraceae,0,Panama Pacifico
PPTROPRA3,TROPRA,Trophis,racemosa,Moraceae,0,Panama Pacifico
PPTROPRA4,TROPRA,Trophis,racemosa,Moraceae,0,Panama Pacifico
PPTROPRA5,TROPRA,Trophis,racemosa,Moraceae,0,Panama Pacifico
PPTROPRA6,TROPRA,Trophis,racemosa,Moraceae,0,Panama Pacifico
PMCASTEL1,CASTEL,Castilla,elastica,Moraceae,0,Metropolitano
PMCASTEL2,CASTEL,Castilla,elastica,Moraceae,0,Metropolitano
PMCASTEL3,CASTEL,Castilla,elastica,Moraceae,0,Metropolitano
PMCASTEL4,CASTEL,Castilla,elastica,Moraceae,0,Metropolitano
PMCASTEL5,CASTEL,Castilla,elastica,Moraceae,0,Metropolitano
PMCASTEL6,CASTEL,Castilla,elastica,Moraceae,0,Metropolitano
ANCASTEL1,CASTEL,Castilla,elastica,Moraceae,0,ANAM
ANCASTEL2,CASTEL,Castilla,elastica,Moraceae,0,ANAM
ANCASTEL3,CASTEL,Castilla,elastica,Moraceae,0,ANAM
ANCASTEL4,CASTEL,Castilla,elastica,Moraceae,0,ANAM
ANCASTEL5,CASTEL,Castilla,elastica,Moraceae,0,ANAM
ANCASTEL6,CASTEL,Castilla,elastica,Moraceae,0,ANAM
CHSOROAF1,SOROAF,Sorocea,affinis,Moraceae,0,Charco
CHSOROAF2,SOROAF,Sorocea,affinis,Moraceae,0,Charco
CHSOROAF3,SOROAF,Sorocea,affinis,Moraceae,0,Charco
CHSOROAF4,SOROAF,Sorocea,affinis,Moraceae,0,Charco
CHSOROAF5,SOROAF,Sorocea,affinis,Moraceae,0,Charco
CHSOROAF6,SOROAF,Sorocea,affinis,Moraceae,0,Charco
CHTROPRA1,TROPRA,Trophis,racemosa,Moraceae,0,Charco
CHTROPRA2,TROPRA,Trophis,racemosa,Moraceae,0,Charco
CHTROPRA3,TROPRA,Trophis,racemosa,Moraceae,0,Charco
CHTROPRA4,TROPRA,Trophis,racemosa,Moraceae,0,Charco
CHTROPRA5,TROPRA,Trophis,racemosa,Moraceae,0,Charco
CHTROPRA6,TROPRA,Trophis,racemosa,Moraceae,0,Charco
OLPEREXA1,PEREXA,Perebea,xanthochyma,Moraceae,0,Oleoducto
OLPEREXA2,PEREXA,Perebea,xanthochyma,Moraceae,0,Oleoducto
OLPEREXA3,PEREXA,Perebea,xanthochyma,Moraceae,0,Oleoducto
OLPEREXA4,PEREXA,Perebea,xanthochyma,Moraceae,0,Oleoducto
OLPEREXA5,PEREXA,Perebea,xanthochyma,Moraceae,0,Oleoducto
OLPEREXA6,PEREXA,Perebea,xanthochyma,Moraceae,0,Oleoducto
OLSOROAF1,SOROAF,Sorocea,affinis,Moraceae,0,Oleoducto
OLSOROAF2,SOROAF,Sorocea,affinis,Moraceae,0,Oleoducto
OLSOROAF3,SOROAF,Sorocea,affinis,Moraceae,0,Oleoducto
OLSOROAF4,SOROAF,Sorocea,affinis,Moraceae,0,Oleoducto
OLSOROAF5,SOROAF,Sorocea,affinis,Moraceae,0,Oleoducto
OLSOROAF6,SOROAF,Sorocea,affinis,Moraceae,0,Oleoducto
OLPOULAR1,POULAR,Poulsenia,armata,Moraceae,0,Oleoducto
OLPOULAR2,POULAR,Poulsenia,armata,Moraceae,0,Oleoducto
OLPOULAR3,POULAR,Poulsenia,armata,Moraceae,0,Oleoducto
OLPOULAR4,POULAR,Poulsenia,armata,Moraceae,0,Oleoducto
OLPOULAR5,POULAR,Poulsenia,armata,Moraceae,0,Oleoducto
OLPOULAR6,POULAR,Poulsenia,armata,Moraceae,0,Oleoducto
OLOLMEAS1,OLMEAS,Trophis,caucana,Moraceae,0,Oleoducto
OLOLMEAS2,OLMEAS,Trophis,caucana,Moraceae,0,Oleoducto
OLOLMEAS3,OLMEAS,Trophis,caucana,Moraceae,0,Oleoducto
OLOLMEAS4,OLMEAS,Trophis,caucana,Moraceae,0,Oleoducto
OLOLMEAS5,OLMEAS,Trophis,caucana,Moraceae,0,Oleoducto
OLOLMEAS6,OLMEAS,Trophis,caucana,Moraceae,0,Oleoducto
OLBROSCO1,BROSCO,Brosimum,costaricanum,Moraceae,0,Oleoducto
OLBROSCO2,BROSCO,Brosimum,costaricanum,Moraceae,0,Oleoducto
OLBROSCO3,BROSCO,Brosimum,costaricanum,Moraceae,0,Oleoducto
OLBROSCO4,BROSCO,Brosimum,costaricanum,Moraceae,0,Oleoducto
OLBROSCO5,BROSCO,Brosimum,costaricanum,Moraceae,0,Oleoducto
OLBROSCO6,BROSCO,Brosimum,costaricanum,Moraceae,0,Oleoducto
BVSOROAF1,SOROAF,Sorocea,affinis,Moraceae,0,Buena Vista
BVSOROAF2,SOROAF,Sorocea,affinis,Moraceae,0,Buena Vista
BVSOROAF3,SOROAF,Sorocea,affinis,Moraceae,0,Buena Vista
BVSOROAF4,SOROAF,Sorocea,affinis,Moraceae,0,Buena Vista
BVSOROAF5,SOROAF,Sorocea,affinis,Moraceae,0,Buena Vista
BVSOROAF6,SOROAF,Sorocea,affinis,Moraceae,0,Buena Vista
BVMAQUCO1,MAQUCO,Maquira,guianensis,Moraceae,0,Buena Vista
BVMAQUCO2,MAQUCO,Maquira,guianensis,Moraceae,0,Buena Vista
BVMAQUCO3,MAQUCO,Maquira,guianensis,Moraceae,0,Buena Vista
BVMAQUCO4,MAQUCO,Maquira,guianensis,Moraceae,0,Buena Vista
BVMAQUCO5,MAQUCO,Maquira,guianensis,Moraceae,0,Buena Vista
BVMAQUCO6,MAQUCO,Maquira,guianensis,Moraceae,0,Buena Vista
SHBROSUT1,BROSUT,Brosimum,utile,Moraceae,0,Sherman
SHBROSUT2,BROSUT,Brosimum,utile,Moraceae,0,Sherman
SHBROSUT3,BROSUT,Brosimum,utile,Moraceae,0,Sherman
SHBROSUT4,BROSUT,Brosimum,utile,Moraceae,0,Sherman
SHBROSUT5,BROSUT,Brosimum,utile,Moraceae,0,Sherman
SHBROSUT6,BROSUT,Brosimum,utile,Moraceae,0,Sherman
SHPEREXA1,PEREXA,Perebea,xanthochyma,Moraceae,0,Sherman
SHPEREXA2,PEREXA,Perebea,xanthochyma,Moraceae,0,Sherman
SHPEREXA3,PEREXA,Perebea,xanthochyma,Moraceae,0,Sherman
SHPEREXA4,PEREXA,Perebea,xanthochyma,Moraceae,0,Sherman
SHPEREXA5,PEREXA,Perebea,xanthochyma,Moraceae,0,Sherman
SHPEREXA6,PEREXA,Perebea,xanthochyma,Moraceae,0,Sherman
SHBROSGU1,BROSGU,Brosimum,guianense,Moraceae,0,Sherman
SHBROSGU2,BROSGU,Brosimum,guianense,Moraceae,0,Sherman
SHBROSGU3,BROSGU,Brosimum,guianense,Moraceae,0,Sherman
SHBROSGU4,BROSGU,Brosimum,guianense,Moraceae,0,Sherman
SHBROSGU5,BROSGU,Brosimum,guianense,Moraceae,0,Sherman
SHBROSGU6,BROSGU,Brosimum,guianense,Moraceae,0,Sherman
CHVIROSE1,VIROSE,Virola,sebifera,Myristicaceae,0,Charco
CHVIROSE2,VIROSE,Virola,sebifera,Myristicaceae,0,Charco
CHVIROSE3,VIROSE,Virola,sebifera,Myristicaceae,0,Charco
CHVIROSE4,VIROSE,Virola,sebifera,Myristicaceae,0,Charco
CHVIROSE5,VIROSE,Virola,sebifera,Myristicaceae,0,Charco
CHVIROSE6,VIROSE,Virola,sebifera,Myristicaceae,0,Charco
OLVIROSE1,VIROSE,Virola,sebifera,Myristicaceae,0,Oleoducto
OLVIROSE2,VIROSE,Virola,sebifera,Myristicaceae,0,Oleoducto
OLVIROSE3,VIROSE,Virola,sebifera,Myristicaceae,0,Oleoducto
OLVIROSE4,VIROSE,Virola,sebifera,Myristicaceae,0,Oleoducto
OLVIROSE5,VIROSE,Virola,sebifera,Myristicaceae,0,Oleoducto
OLVIROSE6,VIROSE,Virola,sebifera,Myristicaceae,0,Oleoducto
BVVIROSE1,VIROSE,Virola,sebifera,Myristicaceae,0,Buena Vista
BVVIROSE2,VIROSE,Virola,sebifera,Myristicaceae,0,Buena Vista
BVVIROSE3,VIROSE,Virola,sebifera,Myristicaceae,0,Buena Vista
BVVIROSE4,VIROSE,Virola,sebifera,Myristicaceae,0,Buena Vista
BVVIROSE5,VIROSE,Virola,sebifera,Myristicaceae,0,Buena Vista
