trait,condition,model,axis,agreement_rate,cohen_kappa,n_compared,n_species,ceiling_kappa,roni_majority_frac,roni_distribution,trait_verdict
stipules,C2u_margin_only,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.1760,0.6515,present:23;absent:43,at_human_level
tendrils,C2u_margin_only,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.0000,1.0000,absent:100,undecidable
venation,C2u_margin_only,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.3229,0.9537,pinnate:103;parallel:5,at_human_level
compound_leaf_type,C3u_margin_rich,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.6736,0.7826,odd-pinnate:18;even-pinnate:5,at_human_level
damage,C3u_margin_rich,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.5214,0.7544,present:86;absent:28,undecidable
latex,C3u_margin_rich,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,,,,undecidable
leaf_apex,C3u_margin_rich,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.1993,0.5175,acute:53;obtuse:2;acuminate:59,model_gap
leaf_base,C3u_margin_rich,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.4797,0.6126,cuneate:68;rounded:24;cordate:19,model_gap
leaf_complexity_type,C3u_margin_rich,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.8513,0.8158,simple:93;compound:21,model_gap
leaf_margin,C3u_margin_rich,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,0.8571,0.5807,112,112,0.7955,0.7411,entire:83;toothed:29,model_gap
leaf_relative_position,C3u_margin_rich,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.5793,0.6000,alternate:66;opposite:44,model_gap
leaf_shape,C3u_margin_rich,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.1616,0.4825,elliptic:39;obovate:20;lanceolate:55,at_human_level
leaf_spacing,C3u_margin_rich,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.5426,0.5888,clustered:44;distal:63,model_gap
leaf_trichomes,C3u_margin_rich,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.2241,0.9333,present:6;absent:84,at_human_level
leaflet_arrangement,C3u_margin_rich,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.8293,0.8261,opposite:19;alternate:3;subopposite:1,model_gap
petiole_features,C3u_margin_rich,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.6697,0.8837,winged:4;grooved:6;terete:76,model_gap
petiole_length,C3u_margin_rich,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.6779,0.7207,short:80;long:31,model_gap
pulvinus,C3u_margin_rich,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.4813,0.5455,present:35;absent:42,model_gap
stem_texture,C3u_margin_rich,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.3333,0.7576,smooth:50;ridged:9;lenticellate:7,model_gap
stem_trichomes,C3u_margin_rich,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.3937,0.8226,present:11;absent:51,at_human_level
stem_type,C3u_margin_rich,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.0000,1.0000,woody:109,undecidable
stipules,C3u_margin_rich,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.1760,0.6515,present:23;absent:43,at_human_level
tendrils,C3u_margin_rich,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.0000,1.0000,absent:100,undecidable
venation,C3u_margin_rich,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.3229,0.9537,pinnate:103;parallel:5,at_human_level
compound_leaf_type,C4u_image_fewshot,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.6736,0.7826,odd-pinnate:18;even-pinnate:5,at_human_level
damage,C4u_image_fewshot,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.5214,0.7544,present:86;absent:28,undecidable
latex,C4u_image_fewshot,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,,,,undecidable
leaf_apex,C4u_image_fewshot,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.1993,0.5175,acute:53;obtuse:2;acuminate:59,model_gap
leaf_base,C4u_image_fewshot,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.4797,0.6126,cuneate:68;rounded:24;cordate:19,model_gap
leaf_complexity_type,C4u_image_fewshot,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.8513,0.8158,simple:93;compound:21,model_gap
leaf_margin,C4u_image_fewshot,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,0.8304,0.4957,112,112,0.7955,0.7411,entire:83;toothed:29,model_gap
leaf_relative_position,C4u_image_fewshot,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.5793,0.6000,alternate:66;opposite:44,model_gap
leaf_shape,C4u_image_fewshot,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.1616,0.4825,elliptic:39;obovate:20;lanceolate:55,at_human_level
leaf_spacing,C4u_image_fewshot,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.5426,0.5888,clustered:44;distal:63,model_gap
leaf_trichomes,C4u_image_fewshot,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.2241,0.9333,present:6;absent:84,at_human_level
leaflet_arrangement,C4u_image_fewshot,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.8293,0.8261,opposite:19;alternate:3;subopposite:1,model_gap
petiole_features,C4u_image_fewshot,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.6697,0.8837,winged:4;grooved:6;terete:76,model_gap
petiole_length,C4u_image_fewshot,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.6779,0.7207,short:80;long:31,model_gap
pulvinus,C4u_image_fewshot,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.4813,0.5455,present:35;absent:42,model_gap
stem_texture,C4u_image_fewshot,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.3333,0.7576,smooth:50;ridged:9;lenticellate:7,model_gap
stem_trichomes,C4u_image_fewshot,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.3937,0.8226,present:11;absent:51,at_human_level
stem_type,C4u_image_fewshot,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.0000,1.0000,woody:109,undecidable
stipules,C4u_image_fewshot,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.1760,0.6515,present:23;absent:43,at_human_level
tendrils,C4u_image_fewshot,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.0000,1.0000,absent:100,undecidable
venation,C4u_image_fewshot,Qwen/Qwen3.6-35B-A3B-FP8,model_vs_roni,,,0,0,0.3229,0.9537,pinnate:103;parallel:5,at_human_level
compound_leaf_type,K0_gpt-5.1_all-traits,gpt-5.1,model_vs_roni,0.7500,0.5000,4,4,0.6736,0.7826,odd-pinnate:18;even-pinnate:5,at_human_level
damage,K0_gpt-5.1_all-traits,gpt-5.1,model_vs_roni,,,0,0,0.5214,0.7544,present:86;absent:28,undecidable
latex,K0_gpt-5.1_all-traits,gpt-5.1,model_vs_roni,,,0,0,,,,undecidable
leaf_apex,K0_gpt-5.1_all-traits,gpt-5.1,model_vs_roni,0.5088,0.0728,114,114,0.1993,0.5175,acute:53;obtuse:2;acuminate:59,model_gap
leaf_base,K0_gpt-5.1_all-traits,gpt-5.1,model_vs_roni,0.6216,0.0754,111,111,0.4797,0.6126,cuneate:68;rounded:24;cordate:19,model_gap
leaf_complexity_type,K0_gpt-5.1_all-traits,gpt-5.1,model_vs_roni,0.8230,0.3143,113,113,0.8513,0.8158,simple:93;compound:21,model_gap
leaf_margin,K0_gpt-5.1_all-traits,gpt-5.1,model_vs_roni,0.8125,0.4126,112,112,0.7955,0.7411,entire:83;toothed:29,model_gap
leaf_relative_position,K0_gpt-5.1_all-traits,gpt-5.1,model_vs_roni,0.3537,0.0569,82,82,0.5793,0.6000,alternate:66;opposite:44,model_gap
